REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,SCALEDDEMAND
VIC1,2012/03/09 00:00:00,5005.46,22.11,TRADE,0.7763
VIC1,2012/03/09 00:30:00,4795.47,21.07,TRADE,0.7437
VIC1,2012/03/09 01:00:00,4685.34,18.54,TRADE,0.7266
VIC1,2012/03/09 01:30:00,5000.62,20.08,TRADE,0.7755
VIC1,2012/03/09 02:00:00,4854.52,14.55,TRADE,0.7529
VIC1,2012/03/09 02:30:00,4649.39,12.06,TRADE,0.7210
VIC1,2012/03/09 03:00:00,4563.96,12.2,TRADE,0.7078
VIC1,2012/03/09 03:30:00,4508.22,11.77,TRADE,0.6991
VIC1,2012/03/09 04:00:00,4521.9,13.24,TRADE,0.7013
VIC1,2012/03/09 04:30:00,4659.27,17.58,TRADE,0.7226
VIC1,2012/03/09 05:00:00,4848.15,19.52,TRADE,0.7519
VIC1,2012/03/09 05:30:00,5220.67,25.74,TRADE,0.8096
VIC1,2012/03/09 06:00:00,5603.63,25.37,TRADE,0.8690
VIC1,2012/03/09 06:30:00,6067.66,27.29,TRADE,0.9410
VIC1,2012/03/09 07:00:00,6327.73,28.56,TRADE,0.9813
VIC1,2012/03/09 07:30:00,6237.06,25.64,TRADE,0.9673
VIC1,2012/03/09 08:00:00,6299.91,26.92,TRADE,0.9770
VIC1,2012/03/09 08:30:00,6351.48,27.08,TRADE,0.9850
VIC1,2012/03/09 09:00:00,6384.45,27.51,TRADE,0.9901
VIC1,2012/03/09 09:30:00,6395.43,26.92,TRADE,0.9918
VIC1,2012/03/09 10:00:00,6416.68,25.76,TRADE,0.9951
VIC1,2012/03/09 10:30:00,6393.95,25.47,TRADE,0.9916
VIC1,2012/03/09 11:00:00,6448.16,26.12,TRADE,1.0000
VIC1,2012/03/09 11:30:00,6373.94,25.77,TRADE,0.9885
VIC1,2012/03/09 12:00:00,6399.7,23.82,TRADE,0.9925
VIC1,2012/03/09 12:30:00,6387.65,25.35,TRADE,0.9906
VIC1,2012/03/09 13:00:00,6345.17,23.83,TRADE,0.9840
VIC1,2012/03/09 13:30:00,6340.81,22.53,TRADE,0.9834
VIC1,2012/03/09 14:00:00,6328.75,24.63,TRADE,0.9815
VIC1,2012/03/09 14:30:00,6279.09,21.78,TRADE,0.9738
VIC1,2012/03/09 15:00:00,6272.86,23.22,TRADE,0.9728
VIC1,2012/03/09 15:30:00,6320.31,24.91,TRADE,0.9802
VIC1,2012/03/09 16:00:00,6350.09,25.15,TRADE,0.9848
VIC1,2012/03/09 16:30:00,6264.36,25.06,TRADE,0.9715
VIC1,2012/03/09 17:00:00,6247.6,24.32,TRADE,0.9689
VIC1,2012/03/09 17:30:00,6021.71,24.29,TRADE,0.9339
VIC1,2012/03/09 18:00:00,5894.44,26.18,TRADE,0.9141
VIC1,2012/03/09 18:30:00,5637.42,25.23,TRADE,0.8743
VIC1,2012/03/09 19:00:00,5579.5,25.15,TRADE,0.8653
VIC1,2012/03/09 19:30:00,5728.14,25.74,TRADE,0.8883
VIC1,2012/03/09 20:00:00,5736.03,25.95,TRADE,0.8896
VIC1,2012/03/09 20:30:00,5549.57,25.15,TRADE,0.8606
VIC1,2012/03/09 21:00:00,5365.25,24.44,TRADE,0.8321
VIC1,2012/03/09 21:30:00,5171.71,24.36,TRADE,0.8020
VIC1,2012/03/09 22:00:00,5021.61,21.6,TRADE,0.7788
VIC1,2012/03/09 22:30:00,4924.07,23.15,TRADE,0.7636
VIC1,2012/03/09 23:00:00,4921.86,22.58,TRADE,0.7633
VIC1,2012/03/09 23:30:00,5082.14,23.92,TRADE,0.7882
